20151107,100038,37,11,480,1162,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150809,100038,37,11,480,1162,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20151110,100038,37,11,480,1162,19,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150925,100038,37,11,480,1162,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150726,100038,37,11,480,1162,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
20151226,100038,37,11,480,1162,47,12,2,2,4,4,2545.52,4,4,1130.93,4,4,4,0,0,19,0,0,0,2,0,4,1130.93,4,4
20151124,100038,37,11,480,1162,10,1,1,1,0,1,1272.76,1,1,544.48,1,1,1,0,0,0,0,0,0,0,0,1,544.48,1,1
20151009,100038,37,11,480,1162,9,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20151027,100038,37,11,480,1162,2,1,2,2,1,1,637.05,1,1,281.53,1,1,1,0,0,0,0,0,0,0,0,1,281.53,1,1
20151118,100038,37,11,480,1162,36,18,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20151023,100038,37,11,480,1162,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150818,100038,37,11,480,1162,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150905,100038,37,11,480,1162,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20151208,100038,37,11,480,1162,13,2,1,1,1,2,1272.76,2,2,567.87,2,2,2,0,0,0,0,0,0,0,0,2,567.87,2,2
20150917,100038,37,11,480,1162,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20151001,100038,37,11,480,1162,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150723,100038,37,11,480,1162,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
20150830,100038,37,11,480,1162,1,1,0,0,0,1,637.05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150727,100038,37,11,480,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20151126,100038,37,11,480,1162,27,5,2,2,0,5,4454.67,5,3,567.87,2,2,2,0,0,1,0,0,0,1,0,2,567.87,2,2
